key,default,zh-Hans
contact,Contact,联系
email,Email,电子邮箱
website,Website,网站
social_links,Social Links,社交链接
fb,Facebook,Facebook
ig,Instagram,Instagram
yt,YouTube,YouTube
wo,WeChat Official Account,微信公众号
bl,Bilibili,Bilibili
rb,Xiaohongshu,小红书
