key,default,zh-Hans
event,Event,活动
edit_event,Edit Event,编辑活动
abb,Abb,缩写
name,Name,名称
name_local,Local Name,当地名称
session,Session,届数
date,Date,日期
date_starts,Date Starts,开始时间
date_ends,Date Ends,结束时间
styles,Styles,舞种类型
region,Region,地区
city,City,城市
organizer,Organizer,组织者
venue,Venue,场地
details,Details,详细信息
