key,default,zh-Hans
info,Info,基本信息
edit_org,Edit Org,编辑组织
add_event,Add Event,添加活动
name,Name,名称
name_local,Local Name,当地名称
since,Since,成立于
city,City,所在城市
province,Province,省份
styles,Styles,舞种类型
venue,Venue,场地
party,Party,舞会信息
contact,Contact,联系
email,Email,电子邮箱
website,Website,网站
social_links,Social Links,社交链接
fb,Facebook,Facebook
ig,Instagram,Instagram
yt,YouTube,YouTube
wo,WeChat Official Account,微信公众号
bl,Bilibili,Bilibili
rb,Xiaohongshu,小红书
notes,Notes,备注
